date;CF Index;DM Index;EO Index;ES Index;FA Index;FFB Index;FFD Index;FT Index;GX Index;HC Index;HI Index;HWA Index;HWB Index;IB Index;IFB Index;IFD Index;KM Index;MES Index;MX Index;NH Index;NI Index;NK Index;NO Index;NQ Index;PT Index;RTY Index;SM Index;ST Index;TP Index;UX Index;VG Index;XB Index;XP Index;Z  Index
2021-09-28;274.6784322396;382.4027939336;773.9497445496;406.2486302779;509.3185233323;20.8096284493;37.9841400643;17.5249820451;570.1191937133;38.7489875835;83.3690434732;149.8287356833;187.1614974737;130.218334709;27.8685622779;;0.1436119004;156.5127307135;20.6032188011;3.1607840707;0.6929810593;0.8912361549;2.2546241597;474.4479186352;262.0550047682;156.8028271027;153.5071673046;163.1222905466;0.7346821983;101.8906896582;200.740532054;36.7951504039;184.2133834752;483.2400902543
2021-09-29;276.9098984232;383.4098532299;776.1578306556;406.8331943252;509.6042079427;20.8578616034;37.1616179097;17.1315439847;573.4389889234;38.8196553492;83.6161628187;150.0443290062;186.8445915026;131.6108353324;27.7277073648;;0.1420005164;155.0199828611;20.1446355444;3.180112145;0.6867084443;0.8821065832;2.2316582398;473.6445729662;262.2086162291;156.5140168641;155.5769675489;164.0352680804;0.7276848978;99.7462941121;201.6062100431;36.9230466203;182.649424389;487.8296499655
2021-09-30;275.2503084856;377.3339288084;772.388332524;401.969621452;501.5098106494;20.7170990555;37.4555528921;17.2441705189;571.6420102106;38.7710899789;83.6466178491;148.2505925597;186.1188768288;130.9011681184;27.7734466275;;0.1426578217;156.2493046219;20.2759107006;3.1382018687;0.6877568782;0.8772235148;2.2193746233;471.8049113843;;155.0277007582;155.0558298869;163.6979142524;0.7240698905;100.2816594995;200.8659251251;36.8626496477;185.5680614972;487.7410144633
2021-10-01;275.169300485;382.3132775517;767.1957948758;406.2720128398;509.4899340986;;;16.7971220405;565.4719161233;;;149.8373594162;187.1234687572;129.9518252684;;;0.1404525629;155.9607903311;19.7548402507;3.1113347859;0.664298884;0.8575821076;2.1699656262;474.3515171549;262.0320699973;157.4790657102;154.363448058;163.1577987945;0.7054661912;104.1135153872;198.9152465246;37.1319828809;181.4332310571;483.0829839035
2021-10-04;273.5249982228;378.9899818736;759.2903124403;401.3616748429;506.7283161985;;;16.6220176877;562.3618822205;37.839529839;81.7855010088;148.0263755038;183.3269352233;130.3620211937;;;;153.6275878054;19.5507422427;2.99005475;0.6509758423;0.8394580355;2.1243735657;464.7274360407;260.986446734;156.0138820607;154.7332802621;162.2780297329;0.6949783215;100.86144732;197.6777119365;36.8114272287;184.3497564129;482.5761337303
2021-10-05;277.5539298422;382.4923103155;773.1002525448;405.3600929261;507.433004904;;;16.6598419716;567.8604202633;37.7909519912;82.0698209874;149.5010338325;185.7734493203;132.3578971452;;;0.1390982116;154.8819977655;19.5948294449;3.0188783974;0.6366858077;0.8244982758;2.0867415003;470.9292646051;262.5885074154;156.6267232987;154.7474325714;165.4839973201;0.6868948192;104.9833324009;200.9607745627;36.8190311794;183.6708167521;486.5468830376
2021-10-06;274.1871579413;383.7007814711;763.347367955;407.2306978773;506.8044987613;;;16.6231459341;559.5070833979;37.4333067053;81.7280215315;150.1909324658;187.0886091003;130.1443057432;;;0.1373306715;154.1168076899;19.5520573033;2.9721065093;0.6301124777;0.8143952579;2.0613268251;474.2631491313;263.1420485367;155.8307341045;154.3934151265;163.3669211968;0.68497497;107.5748461615;198.355258264;36.8312067233;182.6681573433;481.3433056301
2021-10-07;278.5276325971;387.5835545361;778.9247802406;410.5977867895;514.1751617083;;;16.9975820849;569.5238935007;38.6077358264;83.9715997262;151.4327500057;188.638279299;132.8513900017;;;0.1389480756;157.1650238927;19.9884923278;3.0056527684;0.6383733367;0.8269148526;2.0928205266;478.1915094525;266.040075404;158.2820990565;157.1000043885;165.9580451667;0.6894429697;113.2321703645;202.4412507066;36.8430999962;183.9554423146;486.8655148039
2021-10-08;276.91061622;387.4492799632;773.8889912643;409.8729273709;511.18499612;21.1196531824;37.4468836215;16.9156517494;568.5737832332;38.9874628589;84.6619758112;151.1654142853;187.7129138634;133.079631086;28.1946978679;;0.1389064094;157.7044201756;19.8929960251;3.0082618725;0.6464667855;0.8360346448;2.1157618457;475.8457400992;266.3993468086;157.0211958197;157.0291053895;166.3286540446;0.6964327748;115.3975251569;201.6772797801;37.1434063727;185.1931762129;487.7322387904
2021-10-11;277.3552573015;384.6518930288;775.600033839;406.9501071346;508.480515142;21.2493048636;37.5022609681;;567.4830101447;39.9415635018;86.1685237497;150.0874476708;186.347049128;131.8244135879;28.2527510987;;;157.4535381835;;3.0495395827;0.6566638047;0.8474568905;2.1444951079;472.3833202659;;156.1336326474;157.1000120405;165.3516786978;0.7085801746;112.859785101;201.307648369;37.0243477033;184.862440888;489.8522732911
