date;5y Note;2y Note;10y Note;30y Bond;10y Note Ultra;30y Bond Ultra
2023-07-28;92.5613789569;94.748158513;92.0745599312;90.2728669728;91.4651653661;81.1085754127
2023-07-31;92.6155678438;94.7773342354;92.1262436584;90.4090936332;91.5385722635;81.2815122663
2023-08-01;92.3649984306;94.7080418947;91.6869319775;89.3420302021;90.8660995499;80.0711848224
2023-08-02;92.4055791338;94.7590994089;91.6223273186;88.8425324472;90.6704782377;79.3027473481
2023-08-03;92.222725508;94.7518054783;91.1571737742;87.4348569562;89.8512895399;77.5353411572
2023-08-04;92.6832836321;94.9159189168;91.906587818;88.6381470477;90.7682888938;78.7264192424
2023-08-07;92.7443206392;94.9633294657;91.8936668862;88.32028484;90.6582763583;78.2077623691
2023-08-08;92.8662253144;94.966976431;92.1262436584;88.9560092553;91.0495189829;78.8801067372
2023-08-09;92.791661406;94.9013310556;92.1133227266;89.1830536894;91.1228280696;79.2259036007
2023-08-10;92.5343319291;94.8648614026;91.6740110457;88.4111026137;90.5726675815;78.380622379
2023-08-11;92.1550097206;94.7408645824;91.1184109788;87.7299693115;89.9246964373;77.8811380207
2023-08-14;91.9653012006;94.6095738315;90.9633597973;87.6845604247;89.8023842118;77.7851217582
2023-08-15;91.8840652859;94.627808658;90.7695458205;87.253221409;89.5212397071;77.3624811474
2023-08-16;91.775687512;94.5840450744;90.6015737072;86.7309738018;89.2400218443;76.7669036829
2023-08-17;91.6943567659;94.6241616927;90.368996935;86.2088170124;88.8609810992;76.1329811885
2023-08-18;91.8636902644;94.6569843805;90.6661783662;86.6174969937;89.2644256031;76.4787780519
2023-08-21;91.5724588647;94.5694572132;90.2010248218;85.6411605184;88.6286563382;75.537403724
2023-08-22;91.4911281194;94.4892239766;90.18810389;85.9817725784;88.7020632356;75.9984662086
2023-08-23;91.90435225;94.6533374151;90.8858342066;87.3440391826;89.6190503632;77.6121849046
2023-08-24;91.7147317874;94.5256936296;90.6274155708;87.0715858617;89.3378325005;77.3240592737
2023-08-25;91.6068797085;94.4603256752;90.5244737386;87.0262479078;89.3135395196;77.3429872534
2023-08-28;91.7012704993;94.4784834403;90.691754216;87.1395474547;89.495949759;77.3429872534
2023-08-29;92.1191366386;94.6927450687;91.2579342934;87.9330069864;90.1650346533;78.1585593813
2023-08-30;92.1528741166;94.7109028338;91.2836697514;87.9556306254;90.2015531954;78.2344230275
2023-08-31;92.2539921817;94.7363237049;91.4380824998;88.2729963029;90.396188996;78.5758094352
2023-09-01;92.08548679;94.7145343868;91.0649183579;87.2982756314;89.775763052;77.5516502121
2023-09-05;91.7349203479;94.5111674175;90.5502091966;86.3915165528;89.1066781577;76.3946916765
2023-09-06;91.4923003562;94.3985892738;90.3314578031;86.4594781457;88.9364204911;76.6412864583
2023-09-07;91.7281930745;94.5365882887;90.5759446547;86.5501540536;89.1431966998;76.6412864583
2023-09-08;91.6540784745;94.4784834403;90.5244737386;86.7315058693;89.1675626691;76.9447410429
2023-09-11;91.6001524351;94.4603256752;90.4086641773;86.3688022378;88.9485608992;76.3946916765
2023-09-12;91.5866035177;94.427641698;90.4858705515;86.6408299614;89.1066781577;76.7550819275
2023-09-13;91.6675397617;94.4639572282;90.6016801127;86.7995581381;89.2283741921;76.8878053765
2023-09-14;91.5596876828;94.4094839329;90.3829287192;86.3688022378;88.9242679183;76.2050325611
2023-09-15;91.4316403022;94.3622737436;90.1899127837;86.0288129213;88.6809731675;75.8826499967
2023-09-18;91.3777142627;94.3114320013;90.1899127837;86.1648267831;88.7052661484;76.0912370918
