Date,Rm,Rf,D,dp,xp
1967.03,0.12862,0.00917261,21.578,0.03227,0.04663
1967.06,0.00460721,0.00105946,21.378,0.03199,0.0464
1967.09,0.0648666,0.000982143,21.338,0.03064,0.04501
1967.12,-0.00357664,0.00219186,21.148,0.03093,0.04597
1968.03,-0.0695883,0.000988921,21.118,0.03326,0.05016
1968.06,0.0999427,0.00128323,21.158,0.02968,0.04545
1968.09,0.0261512,0.00194026,21.198,0.0299,0.04612
1968.12,0.00775561,0.00148704,21.228,0.02873,0.04489
1969.03,-0.0327774,-0.000965097,21.078,0.03139,0.0495
1969.06,-0.0423637,0.00138046,20.999,0.03186,0.05073
1969.09,-0.0520995,0.00230728,20.849,0.03365,0.05435
1969.12,-0.0167221,0.0014835,20.579,0.03515,0.05771
1970.03,-0.0304784,0.00708346,20.37,0.03628,0.06049
1970.06,-0.193566,0.000298505,20.12,0.04277,0.07247
1970.09,0.156319,0.00566235,19.98,0.03907,0.06737
1970.12,0.0895039,-0.000488643,19.371,0.03611,0.063
1971.03,0.09251,0.0072186,19.091,0.03201,0.05746
1971.06,-0.0139113,-0.00627586,18.742,0.03184,0.05854
1971.09,-0.0104148,0.00825324,18.592,0.0316,0.05932
1971.12,0.0396058,0.00418628,18.343,0.03142,0.06023
1972.03,0.0499064,0.00200609,18.203,0.02892,0.05616
1972.06,-0.000343885,0.00226719,18.073,0.0287,0.05669
1972.09,0.0295047,0.000591995,17.963,0.02841,0.05677
1972.12,0.0661008,0.00202953,18.193,0.02649,0.05363
1973.03,-0.0685727,-0.00580427,17.973,0.0284,0.05743
1973.06,-0.0775337,-0.00444287,17.883,0.0311,0.06326
1973.09,0.0256356,-0.00348558,17.763,0.03123,0.06462
1973.12,-0.110568,-0.00427922,17.963,0.03517,0.07411
1974.03,-0.0603713,-0.0151185,17.674,0.03573,0.07513
1974.06,-0.0981701,-0.00388702,17.534,0.03955,0.08411
1974.09,-0.275797,-0.0135409,17.424,0.0532,0.1152
1974.12,0.0672408,-0.00927345,17.035,0.0551,0.12064
1975.03,0.209565,0.0025071,17.094,0.04392,0.09839
1975.06,0.134751,-0.00293763,16.995,0.04029,0.09081
1975.09,-0.126114,-0.00339341,16.685,0.04482,0.10082
1975.12,0.0677891,0.000262162,16.276,0.04275,0.09756
1976.03,0.141821,0.00596977,16.206,0.0369,0.08597
1976.06,0.00929025,-0.00341519,16.256,0.03687,0.08663
1976.09,0.00452181,-0.000428472,16.415,0.0361,0.0847
1976.12,0.020767,0.00243794,17.084,0.03699,0.08622
1977.03,-0.0963936,-0.0110793,17.294,0.04063,0.09178
1977.06,0.0122352,-0.0084771,17.634,0.04286,0.09497
1977.09,-0.0394571,0.00113479,17.993,0.04554,0.09933
